BPRModelErScWithoutBeta_700_9,ND,700,700,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_700_9,-1276377.998,-158363.9294,5063905,0.677756426,1524.621145,1.679377445,
BPRModelErScWithoutBeta_750_9,ND,750,750,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_750_9,-1357804.396,-161516.3103,6095256,0.531458459,1635.711864,1.19602538,
BPRModelErScWithoutBeta_800_9,ND,800,800,9,Network\ND\newLargeDataSet\BPRModelErScWithoutBeta_800_9,-1431214.178,-159773.8303,7518774,0.438111718,1733.031496,0.575364353,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
BPRModelErSc_aug_100_9,ND,100,100,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_100_9,-700741.5036,-253725.6951,53009,12.4581273,185.471584,62.30684495,
BPRModelErSc_aug_150_9,ND,150,150,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_150_9,-422604.7626,-615601.5779,143175,13.50734771,331.6344916,82.54735722,
BPRModelErSc_aug_200_9,ND,200,200,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_200_9,-343475.6024,-1157822.458,362732,17.2666852,443.2448418,58.36043128,
BPRModelErSc_aug_250_9,ND,250,250,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_250_9,-444717.934,-2141549.023,679190,25.6437309,578.4711965,86.31445062,
BPRModelErSc_aug_300_9,ND,300,300,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_300_9,-548246.9411,-3452059.38,1188694,35.60942832,676.5917065,59.04809106,
BPRModelErSc_aug_350_9,ND,350,350,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_350_9,-632844.1217,-1.04E+07,2045146,51.50922063,796.7521664,92.73294118,
BPRModelErSc_aug_400_9,ND,400,400,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_400_9,-748013.1226,-1.39E+07,3716910,55.70508031,877.9791271,88.66084961,
BPRModelErSc_aug_450_9,ND,450,450,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_450_9,-868716.5538,-2.71E+07,5718961,61.81594881,954.5471698,92.32851297,
BPRModelErSc_aug_500_9,ND,500,500,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_500_9,-974864.0197,-3.48E+07,8136336,167.4712641,1049.754098,404.6961598,
BPRModelErSc_aug_550_9,ND,550,550,9,Network\ND\newLargeDataSet\BPRModelErSc_aug_550_9,-1095902.678,-3.89E+07,1.19E+07,165.5502456,1155.6313,430.6542258,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,750,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104195.3486,-90992.82269,171924,16.33191922,289.7062147,53.42426992,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,750,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104195.3486,-90992.82269,171924,16.33191922,219.2429379,53.42426992,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,750,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104195.3486,-90992.82269,171924,16.33191922,220.8644068,53.42426992,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,750,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104195.3486,-90992.82269,127335,16.33191922,233.5762712,53.42426992,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,750,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104195.3486,-90992.82269,127335,16.33191922,211.6610169,53.42426992,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90992.82269,127335,13.97656153,201.023622,44.59825069,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90992.82269,127335,13.97656153,208.8503937,44.59825069,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90992.82269,127335,13.97656153,212.8425197,44.59825069,
